0|1|2|3|5
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|empresa
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director  de  departamento  de  operación  en  empresa  de  servicios  de
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|limpieza
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Gerente de empresa de limpieza
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director de departamento de operaciones en empresa de servicios a
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|empresa
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director de departamento de producción en empresa de intermediación
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|"Director 
de 
departamento 
de 
operaciones 
en 
empresa 
de"
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|intermediación
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Otros directores de administración y servicios
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de recursos humanos|Directores de ventas, comercialización y desarrollo
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de ventas y comercialización|Directores de ventas y comercialización
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de ventas y comercialización|Director de departamento de ventas
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de ventas y comercialización|Director de departamento de comercialización
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de ventas y comercialización|Director gerente de empresa de mercadeo y ventas
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de publicidad y relaciones públicas|Directores de publicidad y relaciones públicas
Directores y gerentes|Directores administradores y comerciales|Directores de ventas, comercialización y desarrollo|Directores de publicidad y relaciones públicas|Director de departamento de publicidad
